Clube,Classificação,Pontos,Partidas,Vitórias,Empates,Derrotas,Gols Marcados,Gols Sofridos,Saldo de Gols
Atlético - GO,19,30,38,7,9,22,29,58,-29
Atlético - MG,12,47,38,11,14,13,47,54,-7
Atlético - PR,17,42,38,11,9,18,40,46,-6
Bahia,8,53,38,15,8,15,49,49,0
Botafogo,1,79,38,23,10,5,59,29,30
Bragantino,16,44,38,10,14,14,44,48,-4
Corinthians,7,56,38,15,11,12,54,45,9
Criciúma,18,38,38,9,11,18,42,61,-19
Cruzeiro,9,52,38,14,10,14,43,41,2
Cuiabá,20,30,38,6,12,20,29,49,-20
EC Vitória,11,47,38,13,8,17,45,52,-7
Flamengo,3,70,38,20,10,8,61,42,19
Fluminense,13,46,38,12,10,16,33,39,-6
Fortaleza,4,68,38,19,11,8,53,39,14
Grêmio,14,45,38,12,9,17,44,50,-6
Internacional,5,65,38,18,11,9,53,36,17
Juventude,15,45,38,11,12,15,48,59,-11
Palmeiras,2,73,38,22,7,9,60,33,27
São Paulo,6,59,38,17,8,13,53,43,10
Vasco da Gama,10,50,38,14,8,16,43,56,-13
